case_id,docket_no,title,state,date,type,pending,opinion_link
CV-24-0144-PR_Arizona_2025/07/30,CV-24-0144-PR,Roundtree v. City of Page,Arizona,"July 30, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Roundtree%20v.%20City%20of%20Page%2C%20Ariz.%20CV-24-0144-PR.pdf
SC-166320_Michigan_2025/07/16,SC 166320,Jackson v. Southfield Neighborhood Revitalization Initiative,Michigan,"July 16, 2025",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Jackson%20v.%20Southfield%20Neighborhood%20Revitalization%20Initiative%2C%20Mich.%20SC%20166320.pdf
"24-AP-403,-25-AP-022_Vermont_2025/07/11","24-AP-403, 25-AP-022",Office of the Auditor of Accounts v. Office of the Attorney General,Vermont,"July 11, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Office%20of%20the%20Auditor%20of%20Accounts%20v.%20Office%20of%20the%20Attorney%20Gen.%2C%20Vt.%2024-AP-403.pdf
125156_Kansas_2025/07/03,125156,State v. Gleason,Kansas,"July 3, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Gleason%2C%20Kan.%20125%2C156.pdf
S-1-SC-40182_New-Mexico_2025/07/02,S-1-SC-40182,"State ex rel. Office of the State Engineer v. Intrepid Potash, Inc.",New Mexico,"July 2, 2025",Environment,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20ex%20rel.%20Office%20of%20the%20State%20Eng%27r%20v.%20Intrepid%20Potash%2C%20Inc.%2C%20N.M.%20S-1-SC-40182.pdf
113_New-York_2026/02/19,113,People v. Shaw,New York,"February 19, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-03/court_of_appeals_of_new_york-opinion.pdf
31355_South-Dakota_2026/02/18,31355,In re: Lieutenant Governor’s Power to Vote on Final Passage of Legislation,South Dakota,"February 18, 2026",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-03/supreme_court_of_south_dakota-opinion.pdf
OP-25-0858_Montana_2026/02/27,OP 25-0858,Kendrick v. Knudsen,Montana,"February 27, 2026",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-03/supreme_court_of_montana-opinion.pdf
SC-2025-0372_Alabama_2026/03/13,SC-2025-0372,Jennings v. Smith,Alabama,"March 13, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-03/jennings_opinion.pdf
SC101412_Missouri_2026/03/24,SC101412,Luther v. Hoskins,Missouri,"March 24, 2026",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-04/opinion_sc101412.pdf
"103,252-8_Washington_2026/03/19","103,252-8",In re the Detention of M.E. and R.S.,Washington,"March 19, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-03/in_re_me_1032528.pdf
SC-S071661_Oregon_2026/02/05,SC S071661,State v. Roberts,Oregon,"February 5, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_oregon-opinion_0.pdf
SJC-13824_Massachusetts_2026/03/16,SJC-13824,Committee for Public Counsel Services v. Middlesex and Suffolk County District Courts,Massachusetts,"March 16, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-03/w13824_massachusetts_public_counsel_services.pdf
PR-23-0496_Montana_2025/12/31,PR 23-0496,In the Matter of Austin Miles Knudsen,Montana,"December 31, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_montana-opinion_1.pdf
25-0011_Iowa_2026/01/30,25-0011,State Public Defender v. Iowa District Court for Scott County,Iowa,"January 30, 2026",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_iowa-opinion.pdf
24-0892_Texas_2026/03/13,24-0892,PFLAG v. Office of the Attorney General,Texas,"March 13, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-03/plag_240892.pdf
23-2016_Iowa_2026/03/13,23-2016,State v. Hidlebaugh,Iowa,"March 13, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-03/232016_33f48422ba221.pdf
63-EAP-2024_Pennsylvania_2026/01/21,63 EAP 2024,In Re: Judge Mark B. Cohen,Pennsylvania,"January 21, 2026",Judicial Selection and Administration,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_pennsylvania-opinion_1.pdf
20240298_North-Dakota_2025/08/28,20240298,Northwest Landowners Association v. State,North Dakota,"August 28, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Nw.%20Landowners%20Ass%27n%20v.%20State%2C%20N.D.%2020240298.pdf
"25S-SD-167,-74S00-0907-PD-320_Indiana_2025/08/27","25S-SD-167, 74S00-0907-PD-320",Ward v. State,Indiana,"August 27, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Ward%20v.%20State%2C%20Ind.%2074S00-0907-PD-320.pdf
Ken-25-53_Maine_2025/08/26,Ken-25-53,Maine State Chamber of Commerce v. Department of Labor,Maine,"August 26, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Me.%20State%20Chamber%20of%20Commerce%20v.%20Dep%27t%20of%20Labor%2C%20Me.%20Ken-25-53.pdf
Ken-24-125_Maine_2025/08/26,Ken-24-125,State v. Engroff,Maine,"August 26, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Engroff%2C%20Me.%20Ken-24-125.pdf
SC-20781_Connecticut_2025/08/26,SC 20781,State v. Jacques,Connecticut,"August 26, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Jacques%2C%20Conn.%20SC%2020781.pdf
53264-2025_Idaho_2026/02/05,53264-2025,Committee to Protect and Preserve the Idaho Constitution v. State of Idaho,Idaho,"February 5, 2026",Education,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_idaho-opinion.pdf
242A23-_North-Carolina_2025/08/22,242A23 ,"North Carolina Department of Revenue v. Philip Morris U.S., Inc.",North Carolina,"August 22, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/N.C.%20Dep%27t%20of%20Revenue%20v.%20Philip%20Morris%20U.S.%2C%20Inc.%2C%20N.C.%20242A23.pdf
2024-0234_New-Hampshire_2025/08/19,2024-0234,"Morris v. Commissioner, New Hampshire Department of Revenue Administration",New Hampshire,"August 19, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Morris%20v.%20Comm%27r%2C%20N.H.%20Dep%27t%20of%20Revenue%20Admin.%2C%20N.H.%202024-0234.pdf
"2024-SC-0229-DGE,-2024-SC-0230-DGE,-2024-SC-0231-DG_Kentucky_2025/08/14","2024-SC-0229-DGE, 2024-SC-0230-DGE, 2024-SC-0231-DG",Long v. Commonwealth,Kentucky,"August 14, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Long%20v.%20Commonwealth%2C%20Ky.%202024-SC-0229-DGE.pdf
103006-1_Washington_2025/08/14,103006-1,State v. A.M.W.,Washington,"August 14, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20A.M.W.%2C%20Wash.%20103006-1.pdf
89603_New-Jersey_2025/08/11,89603,Krug v. New Jersey State Parole Board,New Jersey,"August 11, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Krug%20v.%20N.J.%20State%20Parole%20Bd.%2C%20N.J.%20A-12-24.pdf
CV-24-0222-AP/EL_Arizona_2025/08/06,CV-24-0222-AP/EL,Smith v. Fontes,Arizona,"August 6, 2025",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Smith%20v.%20Fontes%2C%20Ariz.%20CV-24-0222-AP%3AEL.pdf
DA-24-0250_Montana_2025/08/05,DA 24-0250,State v. Alford,Montana,"August 5, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Alford%2C%20Mont.%20DA%2024-0250.pdf
"248,2025_Delaware_2026/02/27","248,2025",Rutledge v. Clearway Energy Group LLC,Delaware,"February 27, 2026",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_delaware-opinion.pdf
MA-123238_Oklahoma_2026/01/13,MA-123238,Tobacco Settlement Endowment Trust Fund v. Stitt,Oklahoma,"January 13, 2026",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_oklahoma-opinion_0.pdf
