court_id,name,court_level,court_type,bench_size,selection_jurisdiction,selection_method,selection_type,term_length,url
vt,Supreme Court of Vermont,sup,Supreme Court,5,statewide,gubernatorial appointment from nominating commission with senate confirmation,appointment,6,http://www.vermontjudiciary.org/gtc/supreme/default.aspx
va,Supreme Court of Virginia,sup,Supreme Court,7,statewide,legislative election,,12,http://www.courts.state.va.us/courts/scv/
vactapp,Court of Appeals of Virginia,apl,Court of Appeal,11,statewide,legislative election,,8,http://www.courts.state.va.us/courts/cav/
vachanct,Virginia Chancery Court,lwr,Chancery Court,,,,,,
wash,Washington Supreme Court,sup,Supreme Court,9,statewide*,nonpartisan election**,nonpartisan election,6,https://www.courts.wa.gov/appellate_trial_courts/SupremeCourt/
washctapp,Court of Appeals of Washington,apl,Court of Appeal,22,district,nonpartisan election**,nonpartisan election,6,https://www.courts.wa.gov/appellate_trial_courts/
wva,West Virginia Supreme Court,sup,Supreme Court,,,,,,http://www.courtswv.gov/supreme-court/
wvactapp,Intermediate Court of Appeals of West Virginia,apl,Intermediate Court of Appeals,,,,,,
wis,Wisconsin Supreme Court,sup,Supreme Court,7,statewide,nonpartisan election*,nonpartisan election,10,http://www.wicourts.gov/courts/supreme/index.htm
wisctapp,Court of Appeals of Wisconsin,apl,Court of Appeal,16,district,nonpartisan election*,nonpartisan election,6,http://www.wicourts.gov/courts/appeals/
wyo,Wyoming Supreme Court,sup,Supreme Court,5,statewide,gubernatorial appointment from nominating commission,appointment,8,http://www.courts.state.wy.us/
