FIPS State and County Codes,Geographic area name,RAE Report Links
04003,"Cochise County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04003&geoType=county&view=report&reportType=detailed
04005,"Coconino County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04005&geoType=county&view=report&reportType=detailed
04007,"Gila County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04007&geoType=county&view=report&reportType=detailed
04009,"Graham County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04009&geoType=county&view=report&reportType=detailed
04011,"Greenlee County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04011&geoType=county&view=report&reportType=detailed
04012,"La Paz County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04012&geoType=county&view=report&reportType=detailed
04013,"Maricopa County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04013&geoType=county&view=report&reportType=detailed
04015,"Mohave County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04015&geoType=county&view=report&reportType=detailed
04017,"Navajo County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04017&geoType=county&view=report&reportType=detailed
04019,"Pima County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04019&geoType=county&view=report&reportType=detailed
04021,"Pinal County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04021&geoType=county&view=report&reportType=detailed
04023,"Santa Cruz County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04023&geoType=county&view=report&reportType=detailed
04025,"Yavapai County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04025&geoType=county&view=report&reportType=detailed
04027,"Yuma County, Arizona",https://cbb.census.gov/rae/#industry0=00&geoId=04027&geoType=county&view=report&reportType=detailed
05,Arkansas,https://cbb.census.gov/rae/#industry0=00&geoId=05&geoType=state&view=report&reportType=detailed
05001,"Arkansas County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05001&geoType=county&view=report&reportType=detailed
05003,"Ashley County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05003&geoType=county&view=report&reportType=detailed
05005,"Baxter County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05005&geoType=county&view=report&reportType=detailed
05007,"Benton County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05007&geoType=county&view=report&reportType=detailed
